id,title,type
HINT-SEQ-001,إثبات الرتابة - تلميح 1,hint
HINT-SEQ-002,إثبات الرتابة - تلميح 2,hint
HINT-SEQ-003,إثبات الحصر - تلميح 1,hint
HINT-SEQ-004,إثبات الحصر - تلميح 2,hint
HINT-SEQ-005,حساب النهاية - تلميح 1,hint
HINT-SEQ-006,حساب النهاية - تلميح 2,hint
HINT-SEQ-007,التحويل إلى هندسية - تلميح 1,hint
HINT-SEQ-008,التحويل إلى هندسية - تلميح 2,hint
HINT-SEQ-009,الاستدلال بالتراجع - تلميح 1,hint
HINT-SEQ-010,المجموع الهندسي - تلميح 1,hint
HINT-SEQ-011,اللوغاريتم - تلميح 1,hint
HINT-SEQ-012,التمثيل البياني - تلميح 1,hint
