id,title,difficulty,concepts,methods,bac
THEOREM-SEQ-001,مبرهنة تقارب المتتالية الرتيبة والمحدودة,medium,"monotonicity,boundedness,convergence,limit","METHOD-SEQ-001,METHOD-SEQ-002,METHOD-SEQ-006","BAC-2008-SCI-EX03-Q3,BAC-2012-SCI-EX01A-Q3,BAC-2015-SCI-EX03-Q3"
THEOREM-SEQ-002,مبرهنة الحصر للمتتاليات,medium,"squeeze,comparison,limit","METHOD-SEQ-009,METHOD-SEQ-014",BAC-2013-SCI-EX02A-Q3
THEOREM-SEQ-003,مبرهنة نهاية المتتالية الهندسية,easy,"geometric_sequence,limit","METHOD-SEQ-004,METHOD-SEQ-007","BAC-2008-SCI-EX02-Q3,BAC-2009-SCI-EX01-Q4,BAC-2014-SCI-EX01B-Q1"
THEOREM-SEQ-004,مبرهنة نقطة التثبيت للمتتالية التراجعية,medium,"fixed_point,recursive_sequence,limit",METHOD-SEQ-005,"BAC-2010-SCI-EX01-Q1,BAC-2012-SCI-EX01A-Q3,BAC-2013-SCI-EX02B-Q3"
THEOREM-SEQ-005,خاصية المجال الثابت,medium,"invariant_interval,recursive_sequence,induction","METHOD-SEQ-013,METHOD-SEQ-003","BAC-2008-SCI-EX03-Q1,BAC-2008-SCI-EX03-Q2"
THEOREM-SEQ-006,مبرهنة ربط نهاية متتالية بنهاية دالة,medium,"limit,function_study,explicit_formula",METHOD-SEQ-012,BAC-2014-SCI-EX01B-Q1
THEOREM-SEQ-007,خاصية مجموع حدود متتالية هندسية,easy,"geometric_sum,geometric_sequence",METHOD-SEQ-007,"BAC-2009-SCI-EX03-Q2,BAC-2011-SCI-EX01-Q3,BAC-2014-SCI-EX01B-Q2"
THEOREM-SEQ-008,خاصية اللوغاريتم في تحويل الجداء إلى مجموع,medium,"logarithm,product,sum",METHOD-SEQ-010,"BAC-2012-SCI-EX01B-Q4,BAC-2015-SCI-EX03-Q5"
THEOREM-SEQ-009,خاصية تحويل الجذر باللوغاريتم,hard,"logarithm,geometric_transformation",METHOD-SEQ-010,BAC-2012-SCI-EX01B-Q3
THEOREM-SEQ-010,مبرهنة المقارنة البسيطة في النهايات,medium,"comparison,limit",METHOD-SEQ-014,BAC-2013-SCI-EX02A-Q3
THEOREM-SEQ-011,خاصية الرتابة باستعمال الفرق,easy,"monotonicity,difference",METHOD-SEQ-002,"BAC-2008-SCI-EX02-Q2,BAC-2010-SCI-EX01-Q2"
THEOREM-SEQ-012,خاصية تحويل المتتالية الخطية التراجعية إلى هندسية,medium,"linear_recursive_sequence,geometric_transformation,fixed_point",METHOD-SEQ-004,"BAC-2008-SCI-EX02-Q3,BAC-2010-SCI-EX01-Q3,BAC-2014-SCI-EX01A-Q1"
