id,type,name,tags
CONCEPT-004,concept,الرتابة,"monotonicity,sequence"
SKILL-SEQ-001,skill,إثبات الرتابة,monotonicity
METHOD-SEQ-002,method,إثبات رتابة متتالية,"difference,monotonicity"
FORMULA-SEQ-001,formula,u_{n+1}-u_n,difference
THEOREM-SEQ-011,theorem,خاصية الرتابة باستعمال الفرق,monotonicity
EXAMPLE-SEQ-001,example,مثال إثبات الرتابة بالفرق,example
HINT-SEQ-001,hint,ابدأ بحساب الفرق,hint
HINT-SEQ-002,hint,استعمل الحصر لتحديد الإشارة,hint
MISTAKE-SEQ-004,mistake,دراسة u_n بدل الفرق,mistake
CONCEPT-005,concept,المحدودية,boundedness
SKILL-SEQ-002,skill,إثبات الحصر,"boundedness,induction"
METHOD-SEQ-001,method,إثبات أن متتالية محصورة,boundedness
METHOD-SEQ-003,method,الاستدلال بالتراجع,induction
THEOREM-SEQ-005,theorem,خاصية المجال الثابت,invariant_interval
HINT-SEQ-003,hint,اكتب الخاصية P(n),hint
HINT-SEQ-004,hint,تحقق من u0 ثم انتقل,hint
CONCEPT-006,concept,التقارب,convergence
SKILL-SEQ-003,skill,إثبات التقارب,convergence
METHOD-SEQ-006,method,إثبات تقارب متتالية,convergence
THEOREM-SEQ-001,theorem,رتيبة ومحدودة ⇒ متقاربة,convergence
MISTAKE-SEQ-005,mistake,نسيان الحصر عند إثبات التقارب,mistake
CONCEPT-007,concept,النهاية,limit
SKILL-SEQ-004,skill,حساب النهاية,limit
METHOD-SEQ-005,method,إيجاد نقطة التثبيت وحساب النهاية,"fixed_point,limit"
METHOD-SEQ-009,method,استعمال مبرهنة الحصر لحساب النهاية,"squeeze,limit"
FORMULA-SEQ-006,formula,L=f(L),fixed_point
FORMULA-SEQ-008,formula,مبرهنة الحصر,squeeze
THEOREM-SEQ-004,theorem,مبرهنة نقطة التثبيت,fixed_point
EXAMPLE-SEQ-005,example,مثال نهاية بنقطة التثبيت,example
EXAMPLE-SEQ-008,example,مثال نهاية بالحصر,example
MISTAKE-SEQ-002,mistake,حساب النهاية قبل إثبات التقارب,mistake
CONCEPT-009,concept,المتتالية الهندسية,geometric_sequence
SKILL-SEQ-006,skill,تحويل متتالية إلى هندسية,geometric_transformation
METHOD-SEQ-004,method,تحويل متتالية تراجعية إلى هندسية,geometric_transformation
FORMULA-SEQ-003,formula,u_n=u_0 q^n,geometric_sequence
FORMULA-SEQ-007,formula,v_n=u_n-L,geometric_transformation
THEOREM-SEQ-012,theorem,تحويل التراجعية الخطية إلى هندسية,geometric_transformation
EXAMPLE-SEQ-004,example,مثال تحويل تراجعية إلى هندسية,example
MISTAKE-SEQ-006,mistake,اختيار نقطة تثبيت خاطئة,mistake
SKILL-SEQ-008,skill,حساب مجموع,sum
METHOD-SEQ-007,method,حساب مجموع متتالية هندسية,geometric_sum
FORMULA-SEQ-004,formula,مجموع هندسي,geometric_sum
THEOREM-SEQ-007,theorem,خاصية مجموع حدود متتالية هندسية,geometric_sum
EXAMPLE-SEQ-007,example,مثال مجموع هندسي,example
MISTAKE-SEQ-007,mistake,الخطأ في عدد حدود المجموع,mistake
SKILL-SEQ-009,skill,استعمال اللوغاريتم,logarithm
METHOD-SEQ-010,method,التحويل باللوغاريتم,logarithm
FORMULA-SEQ-009,formula,ln(a_1...a_n)=Σln(a_k),logarithm
FORMULA-SEQ-010,formula,ln(√x)=1/2 ln(x),logarithm
THEOREM-SEQ-008,theorem,لوغاريتم الجداء,logarithm
THEOREM-SEQ-009,theorem,لوغاريتم الجذر,logarithm
EXAMPLE-SEQ-009,example,مثال لوغاريتم الجذر,example
MISTAKE-SEQ-008,mistake,استعمال ln دون شرط الموجب,mistake
